Category,Year,Tonnage
C&D,2000,1546314
C&D,2001,1993262
C&D,2002,2329474
C&D,2003,2207483
C&D,2004,2779024
C&D,2005,3205120
C&D,2006,3220780
C&D,2007,2854883
C&D,2008,2500516
C&D,2009,2906379
C&D,2010,3024858
C&D,2011,2881119
C&D,2012,2806001
C&D,2013,2976897
C&D,2014,3079790
C&D,2015,3096302
C&D,2016,3295795
C&D,2017,3589223
C&D,2018,3992442
Glass,2000,84062
Glass,2001,81632
Glass,2002,67301
Glass,2003,77102
Glass,2004,83658
Glass,2005,87643
Glass,2006,96396
Glass,2007,98640
Glass,2008,94077
Glass,2009,102573
Glass,2010,115518
Glass,2011,117341
Glass,2012,144941
Glass,2013,105518
Glass,2014,112277
Glass,2015,116313
Glass,2016,145404
Glass,2017,146065
Glass,2018,87921
Metal,2000,484497
Metal,2001,358922
Metal,2002,559986
Metal,2003,904938
Metal,2004,1048970
Metal,2005,1171901
Metal,2006,1263544
Metal,2007,1206531
Metal,2008,1174661
Metal,2009,1219820
Metal,2010,1533530
Metal,2011,1679629
Metal,2012,1575922
Metal,2013,1416312
Metal,2014,1333742
Metal,2015,1357179
Metal,2016,1291839
Metal,2017,1543250
Metal,2018,1561977
MRW,2000,23612
MRW,2001,65385
MRW,2002,67223
MRW,2003,86128
MRW,2004,148976
MRW,2005,161640
MRW,2006,136213
MRW,2007,136657
MRW,2008,134022
MRW,2009,163313
MRW,2010,132384
MRW,2011,145339
MRW,2012,149430
MRW,2013,119870
MRW,2014,137033
MRW,2015,142866
MRW,2016,129537
MRW,2017,104751
MRW,2018,98577
Organics,2000,614334
Organics,2001,732741
Organics,2002,519124
Organics,2003,700832
Organics,2004,820748
Organics,2005,889493
Organics,2006,984469
Organics,2007,1000941
Organics,2008,981154
Organics,2009,1052473
Organics,2010,1288881
Organics,2011,1365341
Organics,2012,1411524
Organics,2013,1381000
Organics,2014,1271812
Organics,2015,1267398
Organics,2016,1355646
Organics,2017,1315899
Organics,2018,1377110
Other,2000,28614
Other,2001,20894
Other,2002,37225
Other,2003,43825
Other,2004,67034
Other,2005,83153
Other,2006,52751
Other,2007,103294
Other,2008,66430
Other,2009,61932
Other,2010,52251
Other,2011,58538
Other,2012,73284
Other,2013,39122
Other,2014,50772
Other,2015,65984
Other,2016,47894
Other,2017,53246
Other,2018,95895
Paper,2000,1048754
Paper,2001,957531
Paper,2002,873508
Paper,2003,927034
Paper,2004,1098120
Paper,2005,1210777
Paper,2006,1260092
Paper,2007,1294643
Paper,2008,1283907
Paper,2009,1086564
Paper,2010,1079121
Paper,2011,1168468
Paper,2012,1029308
Paper,2013,1119193
Paper,2014,1093913
Paper,2015,1020105
Paper,2016,1082749
Paper,2017,948524
Paper,2018,1021153
Plastic,2000,21135
Plastic,2001,20172
Plastic,2002,30757
Plastic,2003,35952
Plastic,2004,33126
Plastic,2005,42006
Plastic,2006,38262
Plastic,2007,51417
Plastic,2008,42854
Plastic,2009,58797
Plastic,2010,64408
Plastic,2011,74679
Plastic,2012,77436
Plastic,2013,76681
Plastic,2014,71326
Plastic,2015,74428
Plastic,2016,67984
Plastic,2017,63187
Plastic,2018,69648
